iter	Passed	Remaining
0	148	148288
1	150	74988
2	152	50539
3	153	38241
4	154	30793
5	155	25806
6	157	22322
7	158	19706
8	160	17693
9	162	16044
10	163	14726
11	165	13617
12	166	12670
13	168	11855
14	169	11156
15	171	10552
16	172	9973
17	173	9473
18	174	9006
19	175	8618
20	177	8276
21	179	7969
22	180	7686
23	183	7442
24	184	7202
25	186	6975
26	188	6777
27	189	6588
28	190	6384
29	191	6206
30	192	6029
31	194	5884
32	196	5745
33	196	5593
34	198	5464
35	198	5323
36	199	5202
37	200	5087
38	202	4978
39	203	4874
40	204	4774
41	205	4683
42	206	4596
43	207	4510
44	208	4423
45	209	4337
46	210	4260
47	210	4184
48	211	4110
49	212	4039
50	213	3971
51	214	3903
52	214	3840
53	215	3781
54	216	3720
55	217	3663
56	218	3607
57	218	3553
58	219	3499
59	220	3449
60	220	3401
61	221	3353
62	222	3306
63	223	3262
64	223	3217
65	224	3173
66	224	3130
67	225	3089
68	225	3049
69	226	3009
70	227	2971
71	227	2932
72	228	2896
73	228	2860
74	229	2825
75	229	2791
76	230	2757
77	230	2725
78	231	2693
79	231	2662
80	232	2632
81	232	2603
82	232	2571
83	233	2543
84	233	2517
85	234	2491
86	234	2465
87	235	2441
88	236	2417
89	236	2394
90	237	2372
91	238	2349
92	238	2326
93	239	2303
94	239	2281
95	240	2260
96	240	2239
97	240	2218
98	241	2197
99	242	2178
100	242	2159
101	243	2140
102	243	2122
103	244	2104
104	244	2086
105	245	2068
106	245	2050
107	246	2033
108	246	2016
109	247	2000
110	247	1983
111	248	1967
112	248	1951
113	249	1936
114	249	1921
115	250	1906
116	250	1891
117	251	1877
118	251	1864
119	252	1851
120	252	1837
121	253	1823
122	253	1810
123	254	1797
124	254	1784
125	255	1771
126	255	1758
127	256	1745
128	256	1733
129	257	1721
130	257	1709
131	258	1698
132	258	1686
133	259	1675
134	259	1664
135	260	1653
136	260	1642
137	261	1632
138	261	1622
139	262	1611
140	262	1601
141	263	1590
142	263	1580
143	264	1570
144	264	1560
145	265	1551
146	265	1542
147	266	1533
148	267	1525
149	267	1516
150	268	1508
151	268	1499
152	269	1491
153	269	1482
154	270	1474
155	270	1465
156	271	1457
157	271	1449
158	272	1441
159	273	1433
160	273	1424
161	273	1416
162	274	1408
163	274	1400
164	275	1393
165	275	1385
166	276	1378
167	276	1370
168	277	1363
169	277	1356
170	278	1349
171	278	1342
172	279	1335
173	279	1328
174	280	1321
175	281	1315
176	281	1309
177	282	1302
178	282	1296
179	283	1289
180	283	1283
181	284	1277
182	284	1271
183	285	1265
184	286	1260
185	286	1254
186	287	1249
187	288	1244
188	288	1238
189	289	1232
190	289	1226
191	290	1220
192	290	1214
193	290	1208
194	291	1203
195	291	1197
196	292	1191
197	292	1186
198	293	1181
199	293	1175
200	294	1170
201	294	1165
202	295	1160
203	295	1154
204	296	1150
205	297	1145
206	297	1140
207	298	1135
208	298	1131
209	299	1126
210	300	1122
211	300	1117
